"id","name_portuguese","name_bororo","scientific_name","category","classification_bororo","created_at","info","pic_link"
1,Onça pintada,Adugo,Panthera onca,Feilídeo,Barege boemoriae,2025-05-26 21:12:57.537 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG/560px-Jaguar_%28Panthera_onca_palustris%29_female_Piquiri_River_2.JPG
2,Onça parda,Aigo,Puma concolor,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.721 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mountain_Lion_in_Glacier_National_Park.jpg/560px-Mountain_Lion_in_Glacier_National_Park.jpg
3,Gato mourisco / Jaguarundi,Aimearewy,Herpailurus yagouaroundi,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.742 +0200,,https://upload.wikimedia.org/wikipedia/commons/7/75/Herpailurus_yagouaroundi_310267736.jpg
4,Barege boemoriae,Aipoburewy,Leopardus pardalis,Feilídeo,Barege boemoriae,2025-05-26 21:15:33.758 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg/560px-Ocelot_%28Jaguatirica%29_Zoo_Itatiba.jpg
5,Mão-pelada,Ierarae,Procionídeos,,Barege boemoriae,2025-05-26 21:15:33.773 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Crab-eating_raccoon_%28Procyon_cancrivorus%29_Manuel_Antonio_Park_CRI_01_2020_CRI_01_2020_1752.jpg/560px-Crab-eating_raccoon_%28Procyon_cancrivorus%29_Manuel_Antonio_Park_CRI_01_2020_CRI_01_2020_1752.jpg
6,Irara / Papa mel,Ipocerewy,Eira barbara,Mustelídeos,Barege boemoriae,2025-05-26 21:15:33.937 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Irara_%28Papa-mel%29.jpg/560px-Irara_%28Papa-mel%29.jpg
7,Graxaim-do-mato / Cachorro-do-mato / Lobinho,Okwa,Cerdocyon thous,Canídeos,Barege boemoriae,2025-05-26 21:24:02.283 +0200,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Cerdocyon_thous_-_Jan_Ebr_and_Ivana_Ebrov%C3%A1_-_284951055.jpeg
8,Lobo Guará,Rie,Chrysocyon brachyurus / Canis jubatus,Canídeos,Barege boemoriae,2025-05-26 21:24:02.304 +0200,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Chrysocyon_brachyurus_205682420.jpg/560px-Chrysocyon_brachyurus_205682420.jpg
9,Cariacu / Veado Galheiro,Atubo,Odocoileus virginianus,,Barege Kurirewyge,2025-05-26 21:24:02.323 +0200,,https://upload.wikimedia.org/wikipedia/commons/c/cb/White-tailed_deer_%28Odocoileus_virginianus%29_grazing_-_20050809.jpg
10,Anta,Ki,Tapirus terrestris,Tapirídeos,Barege Kurirewyge,2025-05-26 21:24:02.477 +0200,,https://upload.wikimedia.org/wikipedia/commons/8/86/Lowland_Tapir_%28Tapirus_terrestris%29_male_out_of_the_forest_..._-_Flickr_-_berniedup.jpg
